alias,code,vendor_type
香港,CHN081000000,ctrip_air
澳门,CHN082000000,ctrip_air
台北,CHN071001000,ctrip_air
高雄,CHN071019000,ctrip_air
新竹,CHN071011000,ctrip_air
台南,CHN071018000,ctrip_air
台东,CHN071022000,ctrip_air
台中,CHN071013000,ctrip_air
嘉义,CHN071017000,ctrip_air
马公,CHN071026000,ctrip_air
屏东,CHN071002000,ctrip_air
花莲,CHN071023000,ctrip_air
金门,CHN035005027,ctrip_air
马祖,CHN071025000,ctrip_air
东沙岛,CHN071027000,ctrip_air
绿岛,CHN071028000,ctrip_air
兰屿,CHN071029000,ctrip_air
马六甲,MYS0ML000000,ctrip_air
瓜拉丁加奴,MYS0TRTGG000,ctrip_air
新加坡,SGP000000000,ctrip_air
新西伯利亚,RUS000NVS000,ctrip_air
阿拉木图,KAZ000ALA000,ctrip_air
阿姆斯特丹,NLD000AMS000,ctrip_air
巴黎,FRA000PAR000,ctrip_air
柏林,DEU0000BE000,ctrip_air
巴林,BHR000000000,ctrip_air
布鲁塞尔,BEL000BRU000,ctrip_air
长崎,JPN000042000,ctrip_air
冲绳,JPN000047000,ctrip_air
大阪,JPN000027000,ctrip_air
迪拜,ARE0000DU000,ctrip_air
东京,JPN000013000,ctrip_air
德里,GBRNIRDRY000,ctrip_air
底特律,USA0MIDET000,ctrip_air
福冈,JPN000040000,ctrip_air
法兰克福,DEU000FFO000,ctrip_air
釜山,KOR026000000,ctrip_air
哥本哈根,DNK000CPH000,ctrip_air
广岛,JPN000034000,ctrip_air
冈山,JPN000033000,ctrip_air
横滨,JPN000048000,ctrip_air
首尔,KOR011000000,ctrip_air
赫尔辛基,FIN000HEL000,ctrip_air
河内,VNM0000HI000,ctrip_air
华沙,POL000WAW000,ctrip_air
金边,KHM000PNH000,ctrip_air
基辅,UKR000030000,ctrip_air
旧金山,USA0CASFO000,ctrip_air
吉隆坡,MYS0KL000000,ctrip_air
开罗,EGY000CAI000,ctrip_air
卡拉奇,PAK000KCT000,ctrip_air
科威特,KWT000000000,ctrip_air
伦敦,GBRENGLND000,ctrip_air
罗马,ITA000ROM000,ctrip_air
洛杉矶,USA0CALAX000,ctrip_air
马德里,ESP000MAD000,ctrip_air
墨尔本,AUSVICMEL000,ctrip_air
曼谷,THA000010000,ctrip_air
米兰,ITA000MIL000,ctrip_air
慕尼黑,DEU000MUC000,ctrip_air
马尼拉,PHL000MNL000,ctrip_air
莫斯科,RUS000MOW000,ctrip_air
平壤,PRK000FNJ000,ctrip_air
仁川,KOR028000000,ctrip_air
圣保罗,BRA0000SP000,ctrip_air
斯德哥尔摩,SWE0000AB000,ctrip_air
神户,JPN000049000,ctrip_air
苏黎世,CHE0000ZH000,ctrip_air
多伦多,CAN000TOR000,ctrip_air
特拉维夫,ISR000TLV000,ctrip_air
温哥华,CAN000VAN000,ctrip_air
乌兰巴托,MNG000001000,ctrip_air
万象,LAO0000VI000,ctrip_air
悉尼,AUSNSWHBS000,ctrip_air
西雅图,USA0WASEA000,ctrip_air
雅加达,IDN0000JK000,ctrip_air
伊斯兰堡,PAK000ISB000,ctrip_air
伊斯坦布尔,TUR000IST000,ctrip_air
芝加哥,USA0ILCHI000,ctrip_air
富山,JPN000016000,ctrip_air
仙台,JPN000050000,ctrip_air
福岛,JPN000007000,ctrip_air
清迈,THA000050000,ctrip_air
槟城,MYS0PHPEN000,ctrip_air
布拉格维申斯科,RUS000001000,ctrip_air
海参崴,RUS000VVO000,ctrip_air
纽约,USA0NY000000,ctrip_air
亚的斯亚贝巴,ETH0000AA000,ctrip_air
布达佩斯,HUN0000BU000,ctrip_air
塔什干,UZB0000TK000,ctrip_air
札幌,JPN000051000,ctrip_air
比什凯克,KGZ0000GB000,ctrip_air
清莱,THA000057000,ctrip_air
维也纳,AUT000VDD000,ctrip_air
卢森堡,LUX0000LL000,ctrip_air
日内瓦,CHE0000GE000,ctrip_air
布拉茨克,RUS000002000,ctrip_air
赤塔,RUS000CHI000,ctrip_air
伊尔库茨克,RUS000IKT000,ctrip_air
萨马拉,RUS000SAM000,ctrip_air
布加勒斯特,ROU0000BC000,ctrip_air
拉斯维加斯,USA0NVLAS000,ctrip_air
华盛顿,USA0WA000000,ctrip_air
奥克兰,NZL000AUK000,ctrip_air
堪培拉,AUSACT000000,ctrip_air
布里斯班,AUSQLDBNE000,ctrip_air
珀斯,AUS0WAPER000,ctrip_air
达尔文,AUS0NTDRW000,ctrip_air
开普敦,ZAF000CPT000,ctrip_air
约翰内斯堡,ZAF000JNB000,ctrip_air
佛罗伦萨,ITA000FLR000,ctrip_air
威尼斯,ITA000VCE000,ctrip_air
