code,description,country,state,city,district,abbreviation
USA0AKVAK000,美国-阿拉斯加-切瓦克,美国,阿拉斯加,切瓦克,切瓦克,
USA0WIATW000,美国-威斯康星-阿普尔顿,美国,威斯康星,阿普尔顿,阿普尔顿,
USA0WATTW000,美国-华盛顿-塔科马,美国,华盛顿,塔科马,塔科马,
USA0WI000000,美国-威斯康星,美国,威斯康星,威斯康星,威斯康星,
USA0WIEAU000,美国-威斯康星-欧克莱尔,美国,威斯康星,欧克莱尔,欧克莱尔,
USA0WIGBK000,美国-威斯康星-格林贝,美国,威斯康星,格林贝,格林贝,
USA0WILSE000,美国-威斯康星-拉克罗斯,美国,威斯康星,拉克罗斯,拉克罗斯,
USA0WIAUW000,美国-威斯康星-沃索,美国,威斯康星,沃索,沃索,
USA0WIMQT000,美国-威斯康星-马凯特,美国,威斯康星,马凯特,马凯特,
RUS000ABA000,俄罗斯-阿巴坎,俄罗斯,阿巴坎,阿巴坎,,
USA0WVAAF000,美国-西佛吉尼亚-阿巴拉契克拉,美国,西佛吉尼亚,阿巴拉契克拉,阿巴拉契克拉,
CHN051032031,中国-四川-阿坝-阿坝县,中国,四川,阿坝,阿坝县,阿坝县
CHN051032028,中国-四川-阿坝-黑水县,中国,四川,阿坝,黑水县,黑水县
CHN051032033,中国-四川-阿坝-红原县,中国,四川,阿坝,红原县,红原县
CHN051032026,中国-四川-阿坝-金川县,中国,四川,阿坝,金川县,金川县
CHN051032025,中国-四川-阿坝-九寨沟县,中国,四川,阿坝,九寨沟县,九寨沟县
CHN051032022,中国-四川-阿坝-理县,中国,四川,阿坝,理县,理县
CHN051032029,中国-四川-阿坝-马尔康县,中国,四川,阿坝,马尔康县,马尔康县
CHN051032023,中国-四川-阿坝-茂县,中国,四川,阿坝,茂县,茂县
CHN051032030,中国-四川-阿坝-壤塘县,中国,四川,阿坝,壤塘县,壤塘县
CHN051032032,中国-四川-阿坝-若尔盖县,中国,四川,阿坝,若尔盖县,若尔盖县
CHN051032024,中国-四川-阿坝-松潘县,中国,四川,阿坝,松潘县,松潘县
CHN051032021,中国-四川-阿坝-汶川县,中国,四川,阿坝,汶川县,汶川县
CHN051032027,中国-四川-阿坝-小金县,中国,四川,阿坝,小金县,小金县
CHN051032000,中国-四川-阿坝,中国,四川,阿坝,阿坝,
USA0TXABI000,美国-德克萨斯-阿比林,美国,德克萨斯,阿比林,阿比林,
USA0KSABZ000,美国-堪萨斯-阿比林,美国,堪萨斯,阿比林,阿比林,
NGA000ABV000,尼日利亚-阿比亚,尼日利亚,阿比亚,阿比亚,,
YEM0000AB000,也门-阿比扬,也门,阿比扬,阿比扬,,
USA0VAVJI000,美国-维吉尼亚-阿宾登岛,美国,维吉尼亚,阿宾登岛,阿宾登岛,
SLV000APO000,萨尔瓦多-阿波帕,萨尔瓦多,阿波帕,阿波帕,,
CAN000ABB000,加拿大-阿伯茨福,加拿大,阿伯茨福,阿伯茨福,,
USA0MDAPG000,美国-马里兰-阿伯丁,美国,马里兰,阿伯丁,阿伯丁,
USA0SDABK000,美国-南达科他-阿伯丁,美国,南达科他,阿伯丁,阿伯丁,
GBRSCTABD000,英国-苏格兰-阿伯丁,英国,苏格兰,阿伯丁,阿伯丁,
AZE000ABS000,阿塞拜疆-阿布歇隆,阿塞拜疆,阿布歇隆,阿布歇隆,,
ARE0000AZ000,阿拉伯联合酋长国-阿布扎比,阿拉伯联合酋长国,阿布扎比,阿布扎比,,
CMR000ADA000,喀麦隆-阿达马瓦,喀麦隆,阿达马瓦,阿达马瓦,,
TUR000ADA000,土耳其-阿达纳,土耳其,阿达纳,阿达纳,,
DZA000ADR000,阿尔及利亚-阿德拉尔,阿尔及利亚,阿德拉尔,阿德拉尔,,
MRT0000AD000,毛里塔尼亚-阿德拉尔,毛里塔尼亚,阿德拉尔,阿德拉尔,,
AUS0SAADL000,澳大利亚-南澳大利亚-阿德莱德,澳大利亚,南澳大利亚,阿德莱德,阿德莱德,
USA0MIADG000,美国-密歇根-阿德里安,美国,密歇根,阿德里安,阿德里安,
USA0ALADM000,美国-阿拉巴马-阿德莫尔,美国,阿拉巴马,阿德莫尔,阿德莫尔,
TUR000ADI000,土耳其-阿德亚曼,土耳其,阿德亚曼,阿德亚曼,,
URY0000AR000,乌拉圭-阿蒂加斯,乌拉圭,阿蒂加斯,阿蒂加斯,,
USA0CAATS000,美国-加利福尼亚-阿蒂西亚,美国,加利福尼亚,阿蒂西亚,阿蒂西亚,
MDV000ADD000,马尔代夫-阿杜,马尔代夫,阿杜,阿杜,,
DEU000ARN000,德国-阿恩斯贝格,德国,阿恩斯贝格,阿恩斯贝格,,
SAU000ARA000,沙特阿拉伯-阿尔阿尔,沙特阿拉伯,阿尔阿尔,阿尔阿尔,,
ROU0000AL000,罗马尼亚-阿尔巴尤利亚,罗马尼亚,阿尔巴尤利亚,阿尔巴尤利亚,,
USA0MNAEL000,美国-明尼苏达-阿尔波特雷阿,美国,明尼苏达,阿尔波特雷阿,阿尔波特雷阿,
USA0NMABQ000,美国-新墨西哥-阿尔伯克基,美国,新墨西哥,阿尔伯克基,阿尔伯克基,
TUR000ARD000,土耳其-阿尔达罕,土耳其,阿尔达罕,阿尔达罕,,
CHE0000AG000,瑞士-阿尔高,瑞士,阿尔高,阿尔高,,
USA000AXG000,美国-阿尔戈纳,美国,阿尔戈纳,阿尔戈纳,,
RUS000ARK000,俄罗斯-阿尔汉格尔斯克,俄罗斯,阿尔汉格尔斯克,阿尔汉格尔斯克,,
DZA000ALG000,阿尔及利亚-阿尔及尔,阿尔及利亚,阿尔及尔,阿尔及尔,,
KAZ000AYK000,哈萨克斯坦-阿尔卡累克,哈萨克斯坦,阿尔卡累克,阿尔卡累克,,
FRA000ARL000,法国-阿尔勒,法国,阿尔勒,阿尔勒,,
ARM000ARM000,亚美尼亚-阿尔马维尔,亚美尼亚,阿尔马维尔,阿尔马维尔,,
NLD000AER000,荷兰-阿尔梅勒,荷兰,阿尔梅勒,阿尔梅勒,,
ESP000LEI000,西班牙-阿尔梅里亚,西班牙,阿尔梅里亚,阿尔梅里亚,,
USA0AKKUK000,美国-阿拉斯加-阿尔缪特,美国,阿拉斯加,阿尔缪特,阿尔缪特,
USA0CAALE000,美国-加利福尼亚-阿尔派恩,美国,加利福尼亚,阿尔派恩,阿尔派恩,
USA0MIAPN000,美国-密歇根-阿尔皮纳,美国,密歇根,阿尔皮纳,阿尔皮纳,
USA0AKPTA000,美国-阿拉斯加-阿尔斯沃特港,美国,阿拉斯加,阿尔斯沃特港,阿尔斯沃特港,
USA0OKLTS000,美国-俄克拉荷马-阿尔特斯,美国,俄克拉荷马,阿尔特斯,阿尔特斯,
TUR000ART000,土耳其-阿尔特温,土耳其,阿尔特温,阿尔特温,,
USA0PAAOO000,美国-宾夕法尼亚-阿尔托纳,美国,宾夕法尼亚,阿尔托纳,阿尔托纳,
ESP000ALB000,西班牙-阿尔瓦塞特,西班牙,阿尔瓦塞特,阿尔瓦塞特,,
ETH0000AF000,埃塞俄比亚-阿法尔,埃塞俄比亚,阿法尔,阿法尔,,
TUR000AFY000,土耳其-阿菲永,土耳其,阿菲永,阿菲永,,
USA0MOAFO000,美国-密苏里-阿夫顿,美国,密苏里,阿夫顿,阿夫顿,
USA0MTHVR000,美国-蒙大拿-阿夫雷,美国,蒙大拿,阿夫雷,阿夫雷,
MEX000AGU000,墨西哥-阿瓜斯卡连斯特,墨西哥,阿瓜斯卡连斯特,阿瓜斯卡连斯特,,
TKM00000A000,土库曼斯坦-阿哈尔,土库曼斯坦,阿哈尔,阿哈尔,,
USA0AKKKI000,美国-阿拉斯加-阿基亚查克,美国,阿拉斯加,阿基亚查克,阿基亚查克,
USA0AKAKI000,美国-阿拉斯加-阿基亚克,美国,阿拉斯加,阿基亚克,阿基亚克,
JOR0000AJ000,约旦-阿吉隆,约旦,阿吉隆,阿吉隆,,
NER000AJY000,尼日尔-阿加德兹,尼日尔,阿加德兹,阿加德兹,,
RUS000AGI000,俄罗斯-阿金斯科耶,俄罗斯,阿金斯科耶,阿金斯科耶,,
MEX000ACA000,墨西哥-阿卡普尔科,墨西哥,阿卡普尔科,阿卡普尔科,,
BRA0000AC000,巴西-阿克里,巴西,阿克里,阿克里,,
USA0OHAKO000,美国-俄亥俄-阿克伦,美国,俄亥俄,阿克伦,阿克伦,
USA0OHCAK000,美国-俄亥俄-阿克伦/坎通,美国,俄亥俄,阿克伦/坎通,阿克伦/坎通,
KAZ000AKM000,哈萨克斯坦-阿克莫拉,哈萨克斯坦,阿克莫拉,阿克莫拉,,
TUR000AKS000,土耳其-阿克萨赖,土耳其,阿克萨赖,阿克萨赖,,
NOR000002000,挪威-阿克什胡斯,挪威,阿克什胡斯,阿克什胡斯,,
KAZ000AKS000,哈萨克斯坦-阿克苏,哈萨克斯坦,阿克苏,阿克苏,,
CHN065029001,中国-新疆-阿克苏-阿克苏市,中国,新疆,阿克苏,阿克苏市,阿克苏市
CHN065029028,中国-新疆-阿克苏-阿瓦提县,中国,新疆,阿克苏,阿瓦提县,阿瓦提县
CHN065029026,中国-新疆-阿克苏-拜城县,中国,新疆,阿克苏,拜城县,拜城县
CHN065029029,中国-新疆-阿克苏-柯坪县,中国,新疆,阿克苏,柯坪县,柯坪县
