code,description,country,state,city,district,abbreviation
CHN000001000,,China,,Dongshadao ,,
CHN000002000,,China,,Lyudao ,,
CHN000003000,,China,,Lanyu ,,
JPN000049000,,Japan,,Kobe ,,
JPN000050000,,Japan,,Sendai ,,
RUS000001000,,Russian Federation,,Biagoveschensk ,,
JPN000051000,,Japan,,Sapporo ,,
RUS000002000,,Russian Federation,,Bratsk ,,
NLD000001000,,Netherlands,,Utrecht ,,
THA000001000,,Thailand,,Phuket ,,
KOR000001000,,South Korea,,Jeju ,,
IDN000001000,,Indonesia,,Bandung ,,
IDN000002000,,Indonesia,,Yogyakarta ,,
IND000001000,,India,,Ahmedabad ,,
ESP000001000,,Spain,,Valladolid ,,
ESP000002000,,Spain,,Santiagode ,,
GBR000001000,,Great Britain (United Kingdom; England),,Guernsey ,,
LBY000001000,,Libya,,Beida ,,
JPN000052000,,Japan,,Hakodate ,,
AUT000001000,,Austria,,Graz ,,
MEX000001000,,Mexico,,Cancun ,,
AUT000002000,,Austria,,Linz ,,
LBY000002000,,Libya,,Benghazi ,,
NOR000021000,,Norway,,Bergen ,,
COD000001000,,Democratic Republic of the Congo,,Kinshasa ,,
COD000002000,,Democratic Republic of the Congo,,Kisangani ,,
BWA000001000,,Botswana,,Gaborone ,,
JPN000053000,,Japan,,Niigata ,,
IDN000003000,,Indonesia,,Naha ,,
JPN000054000,,Japan,,Tokushima ,,
JPN000055000,,Japan,,Ishigaki ,,
USAAP0001000,,United States of America (USA),,Cleveland ,,
THA000002000,,Thailand,,Koh Samui ,,
CAN000001000,,Canada,,Halifax ,,
BRA000001000,,Brazil,,Manaus ,,
BRA000002000,,Brazil,,Recife ,,
USAAP0002000,,United States of America (USA),,Louisville ,,
GBR000002000,,Great Britain (United Kingdom; England),,Durham Tees Valley ,,
ESP000003000,,Spain,,Asturias ,,
ESP000004000,,Spain,,Valencia ,,
CYP000007000,,Cyprus,,Ercan ,,
FRA000001000,,France,,Strasbourg ,,
VNM000001000,,Vietnam,,Da Nang ,,
IND000002000,,India,,Thiruvananthapuram ,,
IND000003000,,India,,Hyderabad ,,
IND000004000,,India,,Kochi ,,
MYS000001000,,Malaysia,,Alor Setar ,,
IDN000004000,,Indonesia,,Balikpapan ,,
IDN000005000,,Indonesia,,Manado ,,
IDN000006000,,Indonesia,,Medan ,,
MYS000002000,,Malaysia,,Lahad Datu ,,
MYS000003000,,Malaysia,,Labuan ,,
JPN000056000,,Japan,,Miyako ,,
IDN000007000,,Indonesia,,Pontianak ,,
IDN000008000,,Indonesia,,Lombok ,,
MYS000004000,,Malaysia,,Kotakinabalu ,,
USAAP0003000,,United States of America (USA),,Santa Ana ,,
USAAP0004000,,United States of America (USA),,Madison ,,
CAN000002000,,Canada,,Kelowna ,,
USAAP0005000,,United States of America (USA),,Lexington ,,
CAN000003000,,Canada,,Fredericton ,,
USAAP0006000,,United States of America (USA),,Butte ,,
POL000001000,,Poland,,Katowice ,,
DEU000001000,,Germany,,Dresden ,,
DEU000002000,,Germany,,Friedrichshafen ,,
DEU000003000,,Germany,,Muenster ,,
DEU000004000,,Germany,,Paderborn ,,
USAAP0007000,,United States of America (USA),,Coloradosprings ,,
COL000001000,,Colombia,,Columbia ,,
ITA000001000,,Italy,,Rimini ,,
USAAP0008000,,United States of America (USA),,Moline ,,
USAAP0009000,,United States of America (USA),,Oklahoma City ,,
DNK000001000,,Denmark,,Aalborg ,,
DEU000005000,,Germany,,Bonn ,,
AUT000003000,,Austria,,Innsbruck ,,
GBR000003000,,Great Britain (United Kingdom; England),,Norwich ,,
IDN000009000,,Indonesia,,Palembang ,,
IDN000010000,,Indonesia,,Solo City ,,
FRA000002000,,France,,Rennes ,,
