alias,code,vendor_type
北京,CHN011000000,ctrip_train
广州,CHN044001000,ctrip_train
重庆,CHN050000000,ctrip_train
上海,CHN031000000,ctrip_train
天津,CHN012000000,ctrip_train
长春,CHN022001000,ctrip_train
成都,CHN051001000,ctrip_train
长沙,CHN043001000,ctrip_train
福州,CHN035001000,ctrip_train
贵阳,CHN052001000,ctrip_train
哈尔滨,CHN023001000,ctrip_train
合肥,CHN034001000,ctrip_train
呼和浩特,CHN015001000,ctrip_train
海口,CHN046001000,ctrip_train
杭州,CHN033001000,ctrip_train
济南,CHN037001000,ctrip_train
昆明,CHN053001000,ctrip_train
拉萨,CHN054001000,ctrip_train
兰州,CHN062001000,ctrip_train
南昌,CHN036001000,ctrip_train
南京,CHN032001000,ctrip_train
南宁,CHN045001000,ctrip_train
石家庄,CHN013001000,ctrip_train
沈阳,CHN021001000,ctrip_train
太原,CHN014001000,ctrip_train
武汉,CHN042001000,ctrip_train
乌鲁木齐,CHN065001000,ctrip_train
西安,CHN061001000,ctrip_train
西宁,CHN063001000,ctrip_train
银川,CHN064001000,ctrip_train
郑州,CHN041001000,ctrip_train
阿尔山,CHN015022002,ctrip_train
安康,CHN061009000,ctrip_train
阿克苏,CHN065029000,ctrip_train
博乐,CHN065027001,ctrip_train
安平,CHN013011025,ctrip_train
安庆,CHN034008000,ctrip_train
安顺,CHN052004000,ctrip_train
鞍山,CHN021003000,ctrip_train
安阳,CHN041005000,ctrip_train
北安,CHN023011081,ctrip_train
蚌埠,CHN034003000,ctrip_train
白城,CHN022008000,ctrip_train
北海,CHN045005000,ctrip_train
白河,CHN061009029,ctrip_train
宝鸡,CHN061003000,ctrip_train
百色,CHN045010000,ctrip_train
包头,CHN015002000,ctrip_train
本溪,CHN021005000,ctrip_train
亳州,CHN034016000,ctrip_train
赤壁,CHN042012081,ctrip_train
常德,CHN043007000,ctrip_train
承德,CHN013008000,ctrip_train
赤峰,CHN015004000,ctrip_train
茶陵,CHN043002024,ctrip_train
苍南,CHN033003027,ctrip_train
崇仁,CHN036010024,ctrip_train
昌图,CHN021012024,ctrip_train
曹县,CHN037017021,ctrip_train
楚雄,CHN053023000,ctrip_train
长治,CHN014004000,ctrip_train
池州,CHN034017000,ctrip_train
常州,CHN032004000,ctrip_train
郴州,CHN043010000,ctrip_train
沧州,CHN013009000,ctrip_train
