code,vendor_type,alias
CHN081000000,standard_air,香港
CHN082000000,standard_air,澳门
CHN071001000,standard_air,台北
CHN071019000,standard_air,高雄
CHN071011000,standard_air,新竹
CHN071018000,standard_air,台南
CHN071022000,standard_air,台东
CHN071013000,standard_air,台中
CHN071017000,standard_air,嘉义
CHN071026000,standard_air,马公
CHN071002000,standard_air,屏东
CHN071023000,standard_air,花莲
CHN035005027,standard_air,金门
CHN071025000,standard_air,马祖
CHN071027000,standard_air,东沙岛
CHN071028000,standard_air,绿岛
CHN071029000,standard_air,兰屿
MYS0ML000000,standard_air,马六甲
MYS0TRTGG000,standard_air,瓜拉丁加奴
SGP000000000,standard_air,新加坡
RUS000NVS000,standard_air,新西伯利亚
KAZ000ALA000,standard_air,阿拉木图
NLD000AMS000,standard_air,阿姆斯特丹
FRA000PAR000,standard_air,巴黎
DEU0000BE000,standard_air,柏林
BHR000000000,standard_air,巴林
BEL000BRU000,standard_air,布鲁塞尔
JPN000042000,standard_air,长崎
JPN000047000,standard_air,冲绳
JPN000027000,standard_air,大阪
ARE0000DU000,standard_air,迪拜
JPN000013000,standard_air,东京
GBRNIRDRY000,standard_air,德里
USA0MIDET000,standard_air,底特律
JPN000040000,standard_air,福冈
DEU000FFO000,standard_air,法兰克福
KOR026000000,standard_air,釜山
DNK000CPH000,standard_air,哥本哈根
JPN000034000,standard_air,广岛
JPN000033000,standard_air,冈山
JPN000048000,standard_air,横滨
KOR011000000,standard_air,首尔
FIN000HEL000,standard_air,赫尔辛基
VNM0000HI000,standard_air,河内
POL000WAW000,standard_air,华沙
KHM000PNH000,standard_air,金边
UKR000030000,standard_air,基辅
USA0CASFO000,standard_air,旧金山
MYS0KL000000,standard_air,吉隆坡
EGY000CAI000,standard_air,开罗
PAK000KCT000,standard_air,卡拉奇
KWT000000000,standard_air,科威特
GBRENGLND000,standard_air,伦敦
ITA000ROM000,standard_air,罗马
USA0CALAX000,standard_air,洛杉矶
ESP000MAD000,standard_air,马德里
AUSVICMEL000,standard_air,墨尔本
THA000010000,standard_air,曼谷
ITA000MIL000,standard_air,米兰
DEU000MUC000,standard_air,慕尼黑
PHL000MNL000,standard_air,马尼拉
RUS000MOW000,standard_air,莫斯科
PRK000FNJ000,standard_air,平壤
KOR028000000,standard_air,仁川
BRA0000SP000,standard_air,圣保罗
SWE0000AB000,standard_air,斯德哥尔摩
JPN000049000,standard_air,神户
CHE0000ZH000,standard_air,苏黎世
CAN000TOR000,standard_air,多伦多
ISR000TLV000,standard_air,特拉维夫
CAN000VAN000,standard_air,温哥华
MNG000001000,standard_air,乌兰巴托
LAO0000VI000,standard_air,万象
AUSNSWHBS000,standard_air,悉尼
USA0WASEA000,standard_air,西雅图
IDN0000JK000,standard_air,雅加达
PAK000ISB000,standard_air,伊斯兰堡
TUR000IST000,standard_air,伊斯坦布尔
USA0ILCHI000,standard_air,芝加哥
JPN000016000,standard_air,富山
JPN000050000,standard_air,仙台
JPN000007000,standard_air,福岛
THA000050000,standard_air,清迈
MYS0PHPEN000,standard_air,槟城
RUS000001000,standard_air,布拉格维申斯科
RUS000VVO000,standard_air,海参崴
USA0NY000000,standard_air,纽约
ETH0000AA000,standard_air,亚的斯亚贝巴
HUN0000BU000,standard_air,布达佩斯
UZB0000TK000,standard_air,塔什干
JPN000051000,standard_air,札幌
KGZ0000GB000,standard_air,比什凯克
THA000057000,standard_air,清莱
AUT000VDD000,standard_air,维也纳
LUX0000LL000,standard_air,卢森堡
CHE0000GE000,standard_air,日内瓦
RUS000002000,standard_air,布拉茨克
RUS000CHI000,standard_air,赤塔
RUS000IKT000,standard_air,伊尔库茨克
RUS000SAM000,standard_air,萨马拉
ROU0000BC000,standard_air,布加勒斯特
USA0NVLAS000,standard_air,拉斯维加斯
USA0WA000000,standard_air,华盛顿
NZL000AUK000,standard_air,奥克兰
AUSACT000000,standard_air,堪培拉
AUSQLDBNE000,standard_air,布里斯班
AUS0WAPER000,standard_air,珀斯
AUS0NTDRW000,standard_air,达尔文
ZAF000CPT000,standard_air,开普敦
ZAF000JNB000,standard_air,约翰内斯堡
ITA000FLR000,standard_air,佛罗伦萨
ITA000VCE000,standard_air,威尼斯
CUB000002000,standard_air,哈瓦那
MEX000MEX000,standard_air,墨西哥城
USA0ORTTD000,standard_air,波特兰
USA0AZPHX000,standard_air,凤凰城
USA0CASAN000,standard_air,圣迭戈
USA0CODEN000,standard_air,丹佛
USA0UTSLC000,standard_air,盐湖城
USA0TXHOU000,standard_air,休斯敦
USA0FLMIA000,standard_air,迈阿密
USA0MABZD000,standard_air,波士顿
USA0GATAT000,standard_air,亚特兰大
USA0ORDAC000,standard_air,达拉斯
GBRSCTEDH000,standard_air,爱丁堡
ESP000BCN000,standard_air,巴塞罗那
DEU000CGN000,standard_air,科隆
GRC000ATH000,standard_air,雅典
FRA000MRS000,standard_air,马赛
FRA000LIO000,standard_air,里昂
ESP000GRX000,standard_air,格拉纳达
NLD000RTM000,standard_air,鹿特丹
NLD000001000,standard_air,乌特勒支
GBRENGOXF000,standard_air,牛津
GBRENGMAN000,standard_air,曼彻斯特
THA000001000,standard_air,普吉岛
AUSQLDCNS000,standard_air,凯恩斯
EGY000ASW000,standard_air,阿斯旺
BGD000DAC000,standard_air,达卡
JPN000046000,standard_air,鹿儿岛
KOR000001000,standard_air,济州岛
KOR029000000,standard_air,光州
AUT000SZG000,standard_air,萨尔茨堡
IDN000001000,standard_air,万隆
IDN000002000,standard_air,日惹
ARE0000SH000,standard_air,沙迦
USA0AKANC000,standard_air,安克雷奇
GUM000000000,standard_air,关岛
IND000001000,standard_air,艾哈迈达巴德
IND000CCU000,standard_air,加尔各答
CAN000MTR000,standard_air,蒙特利尔
CAN000OTT000,standard_air,渥太华
DEU000DUS000,standard_air,杜塞尔多夫
DEU0000HH000,standard_air,汉堡
DEU000NUE000,standard_air,纽伦堡
DEU000STR000,standard_air,斯图加特
ARE0000AZ000,standard_air,阿布扎比
BRA0000RJ000,standard_air,里约热内卢
URY0000MO000,standard_air,蒙得维的亚
USA0PAPIT000,standard_air,匹兹堡
ESP000001000,standard_air,巴利阿多里德
ESP000002000,standard_air,圣地亚哥德
FRA000NCE000,standard_air,尼斯
GBRNIRBFS000,standard_air,贝尔法斯特
GBR000001000,standard_air,根西岛
GBRSCTGLG000,standard_air,格拉斯哥
NGA000KAN000,standard_air,卡诺
NGA000LOS000,standard_air,拉各斯
MUS000000000,standard_air,毛里求斯
LTU0000VI000,standard_air,维尔纽斯
SAU0000RD000,standard_air,利雅得
BGR000GSO000,standard_air,索非亚
AFG000KBL000,standard_air,喀布尔
JAM000KIN000,standard_air,金斯敦
LBY000001000,standard_air,拜达
RUS000SPE000,standard_air,圣彼得堡
PAK000LHE000,standard_air,拉合尔
JPN000052000,standard_air,函馆
SAU000JED000,standard_air,吉达
IRL0000DB000,standard_air,都柏林
AUT000001000,standard_air,格拉茨
ARG000BUE000,standard_air,布宜诺斯艾利斯
MAR000CBL000,standard_air,卡萨布兰卡
LKA000CMB000,standard_air,科伦坡
USA000CMB000,standard_air,科伦坡
