alias,code,vendor_type,vendor_code
AErShan,CHN015022002,meiya_air,YIE
Akesu,CHN065029001,meiya_air,AKU
Aletai,CHN065043001,meiya_air,AAT
ALi,CHN054025000,meiya_air,NGQ
Ankan,CHN061009000,meiya_air,AKA
Anqing,CHN034008000,meiya_air,AQG
Anshun,CHN052004000,meiya_air,AVA
Anshan,CHN021003000,meiya_air,AOG
BaYanZhuoEr,CHN015008000,meiya_air,RLK
Baise,CHN045010000,meiya_air,AEB
Bengbu,CHN034003000,meiya_air,BFU
Baotou,CHN015002000,meiya_air,BAV
Baoshan,CHN053005000,meiya_air,BSD
Beihai,CHN045005000,meiya_air,BHY
Beijing,CHN011000000,meiya_air,222
BoLe,CHN065027001,meiya_air,BPL
Chandu,CHN054021021,meiya_air,BPX
Changbaishan,CHN022025000,meiya_air,NBS
Changchun,CHN022001000,meiya_air,CGQ
Changzhi,CHN014004021,meiya_air,CIH
Changde,CHN043007000,meiya_air,CGD
Changzhou,CHN032004000,meiya_air,CZX
Chaoyang,CHN021013021,meiya_air,CHG
Chengdu,CHN051001000,meiya_air,CTU
Chifeng,CHN015004000,meiya_air,CIF
Daxian,CHN051017021,meiya_air,DAX
Dali,CHN053029001,meiya_air,DLU
Dalian,CHN021002000,meiya_air,DLC
Daqing,CHN023006000,meiya_air,DQA
Datong,CHN014002027,meiya_air,DAT
Dandong,CHN021006000,meiya_air,DDG
Diqingxianggelila,CHN053034021,meiya_air,DIG
Dongying,CHN037005002,meiya_air,DOY
Dunhuang,CHN062009082,meiya_air,DNH
Eerduosi,CHN015006000,meiya_air,DSN
Enshi,CHN042028001,meiya_air,ENH
ErLianHaoTe,CHN015025001,meiya_air,ERL
Foshan,CHN044006000,meiya_air,FUO
Fuzhou,CHN035001000,meiya_air,FOC
Fuyang,CHN034012000,meiya_air,FUG
Fuyun,CHN065043022,meiya_air,FYN
Ganzhou,CHN036007000,meiya_air,KOW
Geermu,CHN063028001,meiya_air,GOQ
Guyan,CHN064004000,meiya_air,GYU
GuangHua,CHN042097000,meiya_air,LHK
Guanghan,CHN051006081,meiya_air,GHN
Guangyuan,CHN051008000,meiya_air,GYS
Guangzhou,CHN044001000,meiya_air,CAN
Guiyang,CHN052001000,meiya_air,KWE
Guilin,CHN045003000,meiya_air,KWL
