alias,code,vendor_type
Hong Kong,CHN081000000,ctrip_air
Macao,CHN082000000,ctrip_air
Tai Bei Shi ,CHN071001000,ctrip_air
Gao Xiong Xian ,CHN071019000,ctrip_air
Xin Zhu Xian ,CHN071011000,ctrip_air
Tai Nan Xian ,CHN071018000,ctrip_air
Tai Dong Xian ,CHN071022000,ctrip_air
Tai Zhong Xian ,CHN071013000,ctrip_air
Jia Yi Xian ,CHN071017000,ctrip_air
Ma Gong ,CHN071026000,ctrip_air
Gao Xiong Shi,CHN071002000,ctrip_air
Hua Lian Xian,CHN071023000,ctrip_air
Jin Men Xian ,CHN035005027,ctrip_air
Ma Zu ,CHN071025000,ctrip_air
Pratas Island,CHN071027000,ctrip_air
Green Island,CHN071028000,ctrip_air
Orchid Island,CHN071029000,ctrip_air
Malacca,MYS0ML000000,ctrip_air
Kuala Terengganu,MYS0TRTGG000,ctrip_air
Singapore,SGP000000000,ctrip_air
Novosibirsk,RUS000NVS000,ctrip_air
Almaty,KAZ000ALA000,ctrip_air
Amsterdam,NLD000AMS000,ctrip_air
Paris,FRA000PAR000,ctrip_air
Berlin,DEU0000BE000,ctrip_air
Bahrain,BHR000000000,ctrip_air
Brussels,BEL000BRU000,ctrip_air
Nagasaki,JPN000042000,ctrip_air
Okinawa,JPN000047000,ctrip_air
Osaka,JPN000027000,ctrip_air
Dubai,ARE0000DU000,ctrip_air
Tokyo,JPN000013000,ctrip_air
Delhi,GBRNIRDRY000,ctrip_air
Detroit,USA0MIDET000,ctrip_air
Fukuoka,JPN000040000,ctrip_air
Frankfurt,DEU000FFO000,ctrip_air
Busan,KOR026000000,ctrip_air
Copenhagen,DNK000CPH000,ctrip_air
Hiroshima,JPN000034000,ctrip_air
Okayama,JPN000033000,ctrip_air
Yokohama.,JPN000048000,ctrip_air
Seoul,KOR011000000,ctrip_air
Helsinki,FIN000HEL000,ctrip_air
Hanoi,VNM0000HI000,ctrip_air
Warsaw,POL000WAW000,ctrip_air
Phnom Penh,KHM000PNH000,ctrip_air
Kiev,UKR000030000,ctrip_air
San Francisco,USA0CASFO000,ctrip_air
Kuala Lumpur,MYS0KL000000,ctrip_air
Cairo,EGY000CAI000,ctrip_air
Karachi,PAK000KCT000,ctrip_air
Kuwait,KWT000000000,ctrip_air
London,GBRENGLND000,ctrip_air
Rome,ITA000ROM000,ctrip_air
Los Angeles,USA0CALAX000,ctrip_air
Madrid,ESP000MAD000,ctrip_air
