alias,code,vendor_type,vendor_code,vendor_country_code,language
Baise,CHN045010000,citsae,AEB,CN,en_us
ankang,CHN061009000,citsae,AKA,CN,en_us
Aksu,CHN065029000,citsae,AKU,CN,en_us
Anshan,CHN021003000,citsae,AOG,CN,en_us
Anqing,CHN034008000,citsae,001,CN,en_us
Anshun,CHN052004000,citsae,AVA,CN,en_us
Baotou,CHN015002000,citsae,BAV,CN,en_us
Beihai,CHN045005000,citsae,BHY,CN,en_us
Beijing,CHN011000000,citsae,BJS,CN,en_us
Bole,CHN065027001,citsae,BPL,CN,en_us
Changdu,CHN054021000,citsae,BPX,CN,en_us
Baoshan,CHN053005000,citsae,BSD,CN,en_us
Guangzhou,CHN044001000,citsae,CAN,CN,en_us
Changde,CHN043007000,citsae,CGD,CN,en_us
Zhengzhou,CHN041001000,citsae,CGO,CN,en_us
Changchun,CHN022001000,citsae,CGQ,CN,en_us
Chaoyang,CHN011005000,citsae,CHG,CN,en_us
Chifeng,CHN015004000,citsae,CIF,CN,en_us
Changzhi,CHN014004000,citsae,CIH,CN,en_us
Chongqing,CHN050000000,citsae,CKG,CN,en_us
Changhai,CHN021002024,citsae,CNI,CN,en_us
Changsha,CHN043001000,citsae,CSX,CN,en_us
Changzhou,CHN032004000,citsae,CZX,CN,en_us
Datong,CHN014002000,citsae,DAT,CN,en_us
Dandong,CHN021006000,citsae,DDG,CN,en_us
Diqing,CHN053034000,citsae,DIG,CN,en_us
Dalian,CHN021002000,citsae,DLC,CN,en_us
Dali,CHN053029000,citsae,DLU,CN,en_us
Dunhuang,CHN062009082,citsae,DNH,CN,en_us
Dongying,CHN037005000,citsae,DOY,CN,en_us
Daqing,CHN023006000,citsae,DQA,CN,en_us
Zhangjiajie,CHN043008000,citsae,DYG,CN,en_us
Enshi,CHN042028000,citsae,ENH,CN,en_us
Yan'An,CHN061006000,citsae,ENY,CN,en_us
Erenhot,CHN015025001,citsae,ERL,CN,en_us
Fuzhou,CHN035001000,citsae,FOC,CN,en_us
Foshan,CHN044006000,citsae,FUO,CN,en_us
Shenzhen,CHN044003000,citsae,SZX,CN,en_us
