alias,code,vendor_type,language
Al Ain,ARE0000AL000,citsae,zh_cn
阿布扎比,ARE0000AZ000,citsae,zh_cn
迪拜,ARE0000DU000,citsae,zh_cn
Ras Al Khaimah,ARE000001000,citsae,zh_cn
沙迦,ARE0000SH000,citsae,zh_cn
博斯特,AFG000001000,citsae,zh_cn
恰赫恰兰,AFG000015000,citsae,zh_cn
Darwaz,AFG000004000,citsae,zh_cn
法拉,AFG000005000,citsae,zh_cn
法扎巴德,AFG000006000,citsae,zh_cn
加德兹,AFG000009000,citsae,zh_cn
Ghazni,AFG000010000,citsae,zh_cn
赫拉特,AFG000HEA000,citsae,zh_cn
Nimroz,AFG000014000,citsae,zh_cn
贾拉拉巴德,KGZ00000J000,citsae,zh_cn
喀布尔,AFG000KBL000,citsae,zh_cn
坎大哈,AFG000KDH000,citsae,zh_cn
霍斯特,AFG000008000,citsae,zh_cn
Kuran-O-Munjan,AFG000011000,citsae,zh_cn
哈汉,AFG000007000,citsae,zh_cn
瑙堡,AFG000013000,citsae,zh_cn
迈马纳,AFG000012000,citsae,zh_cn
马扎里沙里夫,AFG000MZR000,citsae,zh_cn
Sardeh Band,AFG000016000,citsae,zh_cn
谢格纳姆,AFG000017000,citsae,zh_cn
提林库特,AFG000002000,citsae,zh_cn
Taluqan,AFG000018000,citsae,zh_cn
昆都士,AFG000003000,citsae,zh_cn
Urgoon,AFG000019000,citsae,zh_cn
乌鲁兹甘,AFG000020000,citsae,zh_cn
Zaranj,AFG000021000,citsae,zh_cn
巴布达,ATG000001000,citsae,zh_cn
安圭拉,AIA000000000,citsae,zh_cn
埃里温,ARM000EVN000,citsae,zh_cn
Bonaire,NLD000003000,citsae,zh_cn
库拉索,NLD000005000,citsae,zh_cn
圣奥依斯坦图斯,NLD000008000,citsae,zh_cn
沙巴岛（西印群）,NLD000006000,citsae,zh_cn
St Maarten,NLD000007000,citsae,zh_cn
昂布里希,AGO000001000,citsae,zh_cn
本格拉,AGO000BGU000,citsae,zh_cn
卡宾达,AGO000CAB000,citsae,zh_cn
卡宗博,AGO000018000,citsae,zh_cn
Catumbela,AGO000002000,citsae,zh_cn
万科昆戈,AGO000029000,citsae,zh_cn
Cafunfo,AGO000016000,citsae,zh_cn
坎甘巴,AGO000019000,citsae,zh_cn
奎托夸纳瓦,AGO000021000,citsae,zh_cn
Dirico,AGO000011000,citsae,zh_cn
栋多,AGO000003000,citsae,zh_cn
隆巴拉,AGO000022000,citsae,zh_cn
内加热,AGO000027000,citsae,zh_cn
贾姆巴,AGO000015000,citsae,zh_cn
Capanda,AGO000017000,citsae,zh_cn
罗安达,AGO000LUA000,citsae,zh_cn
Lukapa,AGO000025000,citsae,zh_cn
卢埃纳,AGO000024000,citsae,zh_cn
Luzamba,AGO000026000,citsae,zh_cn
马兰热,AGO000MAL000,citsae,zh_cn
纳米比,AGO000004000,citsae,zh_cn
松贝,AGO000009000,citsae,zh_cn
Ndalatandos,AGO000012000,citsae,zh_cn
Ngiva,AGO000013000,citsae,zh_cn
万博,AGO000HUA000,citsae,zh_cn
Nzagi,AGO000014000,citsae,zh_cn
安博因港,AGO000010000,citsae,zh_cn
奇坦托,AGO000030000,citsae,zh_cn
卢班戈,AGO000005000,citsae,zh_cn
梅农盖,AGO000006000,citsae,zh_cn
库依托,AGO000020000,citsae,zh_cn
苏阳,AGO000028000,citsae,zh_cn
Luau,AGO000023000,citsae,zh_cn
威热,AGO000UIG000,citsae,zh_cn
绍里木,AGO000007000,citsae,zh_cn
Ongiva,AGO000008000,citsae,zh_cn
Xangongo,AGO000031000,citsae,zh_cn
布宜诺斯艾利斯,ARG000BUE000,citsae,zh_cn
圣拉斐尔,ARG000AFA000,citsae,zh_cn
帕索德拉斯利布雷斯,ARG000054000,citsae,zh_cn
萨帕拉,ARG000060000,citsae,zh_cn
布兰卡港,ARG000BHI000,citsae,zh_cn
圣卡洛斯·巴,ARG000001000,citsae,zh_cn
科洛尼亚坎特利尔,ARG000041000,citsae,zh_cn
克洛林达,ARG000042000,citsae,zh_cn
科连特斯,ARG000CNQ000,citsae,zh_cn
Charata,ARG000036000,citsae,zh_cn
康科迪亚,ARG000017000,citsae,zh_cn
