alias,code,vendor_type
CHEVAK ,USA0AKVAK000,ctrip_hotel
阿普尔顿,USA0WIATW000,ctrip_hotel
塔科马,USA0WATTW000,ctrip_hotel
威斯康星,USA0WI000000,ctrip_hotel
欧克莱尔,USA0WIEAU000,ctrip_hotel
格林贝,USA0WIGBK000,ctrip_hotel
拉克罗斯,USA0WILSE000,ctrip_hotel
沃索,USA0WIAUW000,ctrip_hotel
马凯特,USA0WIMQT000,ctrip_hotel
阿巴坎,RUS000ABA000,ctrip_hotel
阿巴拉契克拉,USA0WVAAF000,ctrip_hotel
阿比林,USA0TXABI000,ctrip_hotel
阿比林,USA0KSABZ000,ctrip_hotel
阿比亚,NGA000ABV000,ctrip_hotel
阿比扬,YEM0000AB000,ctrip_hotel
阿宾登岛,USA0VAVJI000,ctrip_hotel
阿波帕,SLV000APO000,ctrip_hotel
阿伯茨福,CAN000ABB000,ctrip_hotel
阿伯丁,USA0MDAPG000,ctrip_hotel
阿伯丁,USA0SDABK000,ctrip_hotel
阿伯丁,GBRSCTABD000,ctrip_hotel
阿布歇隆,AZE000ABS000,ctrip_hotel
阿布扎比,ARE0000AZ000,ctrip_hotel
阿达马瓦,CMR000ADA000,ctrip_hotel
阿达纳,TUR000ADA000,ctrip_hotel
阿德拉尔,DZA000ADR000,ctrip_hotel
阿德拉尔,MRT0000AD000,ctrip_hotel
阿德莱德,AUS0SAADL000,ctrip_hotel
阿德里安,USA0MIADG000,ctrip_hotel
阿德莫尔,USA0ALADM000,ctrip_hotel
阿德亚曼,TUR000ADI000,ctrip_hotel
阿蒂加斯,URY0000AR000,ctrip_hotel
阿蒂西亚,USA0CAATS000,ctrip_hotel
阿杜,MDV000ADD000,ctrip_hotel
阿恩斯贝格,DEU000ARN000,ctrip_hotel
阿尔阿尔,SAU000ARA000,ctrip_hotel
阿尔巴尤利亚,ROU0000AL000,ctrip_hotel
阿尔波特雷阿,USA0MNAEL000,ctrip_hotel
阿尔伯克基,USA0NMABQ000,ctrip_hotel
阿尔达罕,TUR000ARD000,ctrip_hotel
阿尔高,CHE0000AG000,ctrip_hotel
阿尔戈纳,USA000AXG000,ctrip_hotel
阿尔汉格尔斯克,RUS000ARK000,ctrip_hotel
阿尔及尔,DZA000ALG000,ctrip_hotel
阿尔卡累克,KAZ000AYK000,ctrip_hotel
阿尔勒,FRA000ARL000,ctrip_hotel
阿尔马维尔,ARM000ARM000,ctrip_hotel
阿尔梅勒,NLD000AER000,ctrip_hotel
阿尔梅里亚,ESP000LEI000,ctrip_hotel
阿尔缪特,USA0AKKUK000,ctrip_hotel
阿尔派恩,USA0CAALE000,ctrip_hotel
阿尔皮纳,USA0MIAPN000,ctrip_hotel
阿尔斯沃特港,USA0AKPTA000,ctrip_hotel
阿尔特斯,USA0OKLTS000,ctrip_hotel
阿尔特温,TUR000ART000,ctrip_hotel
阿尔托纳,USA0PAAOO000,ctrip_hotel
阿尔瓦塞特,ESP000ALB000,ctrip_hotel
阿法尔,ETH0000AF000,ctrip_hotel
阿菲永,TUR000AFY000,ctrip_hotel
阿夫顿,USA0MOAFO000,ctrip_hotel
阿夫雷,USA0MTHVR000,ctrip_hotel
阿瓜斯卡连斯特,MEX000AGU000,ctrip_hotel
阿哈尔,TKM00000A000,ctrip_hotel
阿基亚查克,USA0AKKKI000,ctrip_hotel
阿基亚克,USA0AKAKI000,ctrip_hotel
阿吉隆,JOR0000AJ000,ctrip_hotel
阿加德兹,NER000AJY000,ctrip_hotel
阿金斯科耶,RUS000AGI000,ctrip_hotel
阿卡普尔科,MEX000ACA000,ctrip_hotel
阿克里,BRA0000AC000,ctrip_hotel
阿克伦,USA0OHAKO000,ctrip_hotel
阿克伦/坎通,USA0OHCAK000,ctrip_hotel
阿克莫拉,KAZ000AKM000,ctrip_hotel
阿克萨赖,TUR000AKS000,ctrip_hotel
阿克什胡斯,NOR000002000,ctrip_hotel
阿克苏,KAZ000AKS000,ctrip_hotel
阿克塔,USA0CAACV000,ctrip_hotel
阿克托别,KAZ000AKT000,ctrip_hotel
阿克希奥克,USA0AKAKK000,ctrip_hotel
阿库坦,USA0AKKQA000,ctrip_hotel
阿拉德,ROU0000AR000,ctrip_hotel
阿拉戈斯,BRA0000AL000,ctrip_hotel
阿拉瓜,VEN00000D000,ctrip_hotel
阿拉胡埃拉,CRI00000A000,ctrip_hotel
阿拉加措特恩,ARM000AGT000,ctrip_hotel
阿拉卡基特,USA0AKAET000,ctrip_hotel
阿拉克纳克,USA000AUK000,ctrip_hotel
阿拉拉特,ARM000ARA000,ctrip_hotel
阿拉梅达,USA0CANGZ000,ctrip_hotel
阿拉莫戈多,USA0NMALM000,ctrip_hotel
阿拉莫萨,USA0COALS000,ctrip_hotel
阿拉木图,KAZ000ALA000,ctrip_hotel
阿拉珀霍,USA0COAHF000,ctrip_hotel
阿拉斯加萨拉维克,USA0AKWLK000,ctrip_hotel
阿拉斯加特宾斯,USA0AKWBB000,ctrip_hotel
阿拉斯加维尔帕斯,USA0AKWWP000,ctrip_hotel
阿拉瓦,ESP000ALA000,ctrip_hotel
阿莱恩斯,USA0NEAIA000,ctrip_hotel
阿劳卡,COL000ARA000,ctrip_hotel
阿劳卡尼亚大区,CHL0000AR000,ctrip_hotel
阿勒,TUR000AGR000,ctrip_hotel
阿勒马,USA000AMN000,ctrip_hotel
阿勒纳季克,USA0AKWKK000,ctrip_hotel
阿勒颇,SYR0000HL000,ctrip_hotel
阿雷基帕,PER0000AR000,ctrip_hotel
阿雷斯,KAZ000ARY000,ctrip_hotel
阿黎博里,BEN0000AL000,ctrip_hotel
阿里萨比赫区,DJI00000S000,ctrip_hotel
阿里耶斯卡,USA000AQY000,ctrip_hotel
阿利坎特,ESP000ALC000,ctrip_hotel
阿利塔克,USA0AKALZ000,ctrip_hotel
阿利图斯,LTU0000AL000,ctrip_hotel
阿灵顿海茨,USA0ILJLH000,ctrip_hotel
阿卢克斯内,LVA000ALU000,ctrip_hotel
阿鲁阿,UGA000ARU000,ctrip_hotel
阿鲁沙,TZA0000AR000,ctrip_hotel
阿伦敦,USA0PAAEW000,ctrip_hotel
阿马库罗三角洲,VEN00000Y000,ctrip_hotel
阿马里洛,USA0TXAMA000,ctrip_hotel
阿马帕,BRA0000AP000,ctrip_hotel
阿马西亚,TUR000AMA000,ctrip_hotel
阿曼拜,PRY0000AM000,ctrip_hotel
阿米蒂维尔,USA000AYZ000,ctrip_hotel
