alias,code,vendor_type,language
Bei Jing ,CHN011000000,meiya_hotel,en_us
Xi Cheng ,CHN011002000,meiya_hotel,en_us
Chao Yang ,CHN011005000,meiya_hotel,en_us
Feng Tai ,CHN011006000,meiya_hotel,en_us
Shi Jing Shan ,CHN011007000,meiya_hotel,en_us
Hai Dian ,CHN011008000,meiya_hotel,en_us
Men Tou Gou ,CHN011009000,meiya_hotel,en_us
Fang Shan ,CHN011011000,meiya_hotel,en_us
Shun Yi ,CHN011013000,meiya_hotel,en_us
Chang Ping ,CHN011021000,meiya_hotel,en_us
Da Xing ,CHN011024000,meiya_hotel,en_us
Ping Gu ,CHN011026000,meiya_hotel,en_us
Huai Rou ,CHN011027000,meiya_hotel,en_us
Mi Yun ,CHN011028000,meiya_hotel,en_us
Yan Qing ,CHN011029000,meiya_hotel,en_us
Tian Jin ,CHN012000000,meiya_hotel,en_us
He Xi ,CHN012003000,meiya_hotel,en_us
Nan Kai ,CHN012004000,meiya_hotel,en_us
He Bei ,CHN012005000,meiya_hotel,en_us
Hong Qiao ,CHN012006000,meiya_hotel,en_us
Dong Li ,CHN012010000,meiya_hotel,en_us
Xi Qing ,CHN012011000,meiya_hotel,en_us
Jin Nan ,CHN012012000,meiya_hotel,en_us
Bei Chen ,CHN012013000,meiya_hotel,en_us
Ning He ,CHN012021000,meiya_hotel,en_us
Wu Qing ,CHN012022000,meiya_hotel,en_us
Jing Hai ,CHN012023000,meiya_hotel,en_us
Bao Di ,CHN012024000,meiya_hotel,en_us
Ji Xian ,CHN012025000,meiya_hotel,en_us
Bin Hai Xin Qu ,CHN012026000,meiya_hotel,en_us
Shi Jia Zhuang ,CHN013001000,meiya_hotel,en_us
Jing Xing Kuang Qu ,CHN013001007,meiya_hotel,en_us
Yu Hua Qu ,CHN013001008,meiya_hotel,en_us
Jing Xing Xian ,CHN013001021,meiya_hotel,en_us
Zheng Ding Xian ,CHN013001023,meiya_hotel,en_us
Luan Cheng Xian ,CHN013001024,meiya_hotel,en_us
Xing Tang Xian ,CHN013001025,meiya_hotel,en_us
Ling Shou Xian ,CHN013001026,meiya_hotel,en_us
Gao Yi Xian ,CHN013001027,meiya_hotel,en_us
Shen Ze Xian ,CHN013001028,meiya_hotel,en_us
Zan Huang Xian ,CHN013001029,meiya_hotel,en_us
Wu Ji Xian ,CHN013001030,meiya_hotel,en_us
Ping Shan Xian ,CHN013001031,meiya_hotel,en_us
Yuan Shi Xian ,CHN013001032,meiya_hotel,en_us
Zhao Xian ,CHN013001033,meiya_hotel,en_us
Xin Ji Shi ,CHN013001081,meiya_hotel,en_us
Gao Cheng Shi ,CHN013001082,meiya_hotel,en_us
Jin Zhou Shi ,CHN013001083,meiya_hotel,en_us
Xin Le Shi ,CHN013001084,meiya_hotel,en_us
Lu Quan Shi ,CHN013001085,meiya_hotel,en_us
Tang Shan ,CHN013002000,meiya_hotel,en_us
Lu Nan Qu ,CHN013002002,meiya_hotel,en_us
Lu Bei Qu ,CHN013002003,meiya_hotel,en_us
Gu Ye Qu ,CHN013002004,meiya_hotel,en_us
Kai Ping Qu ,CHN013002005,meiya_hotel,en_us
Feng Nan Qu ,CHN013002007,meiya_hotel,en_us
Feng Run Qu ,CHN013002008,meiya_hotel,en_us
Cao Fei Dian Qu ,CHN013002009,meiya_hotel,en_us
Luan Xian ,CHN013002023,meiya_hotel,en_us
Luan Nan Xian ,CHN013002024,meiya_hotel,en_us
Le Ting Xian ,CHN013002025,meiya_hotel,en_us
Qian Xi Xian ,CHN013002027,meiya_hotel,en_us
Yu Tian Xian ,CHN013002029,meiya_hotel,en_us
Zun Hua Shi ,CHN013002081,meiya_hotel,en_us
Qian An Shi ,CHN013002083,meiya_hotel,en_us
Qin Huang Dao ,CHN013003000,meiya_hotel,en_us
Hai Gang Qu ,CHN013003002,meiya_hotel,en_us
Shan Hai Guan Qu ,CHN013003003,meiya_hotel,en_us
Bei Dai He Qu ,CHN013003004,meiya_hotel,en_us
Qing Long Man Zu Zi Zhi Xian ,CHN013003021,meiya_hotel,en_us
Chang Li Xian ,CHN013003022,meiya_hotel,en_us
Fu Ning Xian ,CHN013003023,meiya_hotel,en_us
Lu Long Xian ,CHN013003024,meiya_hotel,en_us
Han Dan ,CHN013004000,meiya_hotel,en_us
Han Shan Qu ,CHN013004002,meiya_hotel,en_us
Cong Tai Qu ,CHN013004003,meiya_hotel,en_us
Fu Xing Qu ,CHN013004004,meiya_hotel,en_us
Feng Feng Kuang Qu ,CHN013004006,meiya_hotel,en_us
Han Dan Xian ,CHN013004021,meiya_hotel,en_us
Lin Zhang Xian ,CHN013004023,meiya_hotel,en_us
Cheng An Xian ,CHN013004024,meiya_hotel,en_us
Da Ming Xian ,CHN013004025,meiya_hotel,en_us
She Xian ,CHN013004026,meiya_hotel,en_us
Ci Xian ,CHN013004027,meiya_hotel,en_us
Fei Xiang Xian ,CHN013004028,meiya_hotel,en_us
Yong Nian Xian ,CHN013004029,meiya_hotel,en_us
Qiu Xian ,CHN013004030,meiya_hotel,en_us
Ji Ze Xian ,CHN013004031,meiya_hotel,en_us
Guang Ping Xian ,CHN013004032,meiya_hotel,en_us
Guan Tao Xian ,CHN013004033,meiya_hotel,en_us
Wei Xian ,CHN013004034,meiya_hotel,en_us
Qu Zhou Xian ,CHN013004035,meiya_hotel,en_us
Wu An Shi ,CHN013004081,meiya_hotel,en_us
Xing Tai ,CHN013005000,meiya_hotel,en_us
Xing Tai Xian ,CHN013005021,meiya_hotel,en_us
Lin Cheng Xian ,CHN013005022,meiya_hotel,en_us
Na Qiu Xian ,CHN013005023,meiya_hotel,en_us
Bai Xiang Xian ,CHN013005024,meiya_hotel,en_us
Long Yao Xian ,CHN013005025,meiya_hotel,en_us
Ren Xian ,CHN013005026,meiya_hotel,en_us
Nan He Xian ,CHN013005027,meiya_hotel,en_us
Ning Jin Xian ,CHN013005028,meiya_hotel,en_us
Ju Lu Xian ,CHN013005029,meiya_hotel,en_us
Xin He Xian ,CHN013005030,meiya_hotel,en_us
Guang Zong Xian ,CHN013005031,meiya_hotel,en_us
