alias,code,vendor_type,language
北京,CHN011000000,meiya_hotel,zh_cn
西城区,CHN011002000,meiya_hotel,zh_cn
朝阳,CHN011005000,meiya_hotel,zh_cn
丰台区,CHN011006000,meiya_hotel,zh_cn
石景山区,CHN011007000,meiya_hotel,zh_cn
海淀区,CHN011008000,meiya_hotel,zh_cn
门头沟区,CHN011009000,meiya_hotel,zh_cn
房山区,CHN011011000,meiya_hotel,zh_cn
顺义区,CHN011013000,meiya_hotel,zh_cn
昌平区,CHN011021000,meiya_hotel,zh_cn
大兴区,CHN011024000,meiya_hotel,zh_cn
平谷区,CHN011026000,meiya_hotel,zh_cn
怀柔区,CHN011027000,meiya_hotel,zh_cn
密云县,CHN011028000,meiya_hotel,zh_cn
延庆县,CHN011029000,meiya_hotel,zh_cn
天津,CHN012000000,meiya_hotel,zh_cn
河西区,CHN012003000,meiya_hotel,zh_cn
南开区,CHN012004000,meiya_hotel,zh_cn
河北区,CHN012005000,meiya_hotel,zh_cn
红桥区,CHN012006000,meiya_hotel,zh_cn
东丽区,CHN012010000,meiya_hotel,zh_cn
西青区,CHN012011000,meiya_hotel,zh_cn
津南区,CHN012012000,meiya_hotel,zh_cn
北辰区,CHN012013000,meiya_hotel,zh_cn
宁河县,CHN012021000,meiya_hotel,zh_cn
武清区,CHN012022000,meiya_hotel,zh_cn
静海县,CHN012023000,meiya_hotel,zh_cn
宝坻区,CHN012024000,meiya_hotel,zh_cn
蓟县,CHN012025000,meiya_hotel,zh_cn
滨海新区,CHN012026000,meiya_hotel,zh_cn
石家庄,CHN013001000,meiya_hotel,zh_cn
井陉矿区,CHN013001007,meiya_hotel,zh_cn
裕华区,CHN013001008,meiya_hotel,zh_cn
井陉县,CHN013001021,meiya_hotel,zh_cn
正定县,CHN013001023,meiya_hotel,zh_cn
栾城县,CHN013001024,meiya_hotel,zh_cn
行唐县,CHN013001025,meiya_hotel,zh_cn
灵寿县,CHN013001026,meiya_hotel,zh_cn
高邑县,CHN013001027,meiya_hotel,zh_cn
深泽县,CHN013001028,meiya_hotel,zh_cn
赞皇县,CHN013001029,meiya_hotel,zh_cn
无极县,CHN013001030,meiya_hotel,zh_cn
平山县,CHN013001031,meiya_hotel,zh_cn
元氏县,CHN013001032,meiya_hotel,zh_cn
赵县,CHN013001033,meiya_hotel,zh_cn
辛集市,CHN013001081,meiya_hotel,zh_cn
藁城市,CHN013001082,meiya_hotel,zh_cn
晋州市,CHN013001083,meiya_hotel,zh_cn
新乐市,CHN013001084,meiya_hotel,zh_cn
鹿泉市,CHN013001085,meiya_hotel,zh_cn
唐山,CHN013002000,meiya_hotel,zh_cn
路南区,CHN013002002,meiya_hotel,zh_cn
路北区,CHN013002003,meiya_hotel,zh_cn
古冶区,CHN013002004,meiya_hotel,zh_cn
开平区,CHN013002005,meiya_hotel,zh_cn
丰南区,CHN013002007,meiya_hotel,zh_cn
丰润区,CHN013002008,meiya_hotel,zh_cn
曹妃甸区,CHN013002009,meiya_hotel,zh_cn
滦县,CHN013002023,meiya_hotel,zh_cn
滦南县,CHN013002024,meiya_hotel,zh_cn
乐亭县,CHN013002025,meiya_hotel,zh_cn
迁西县,CHN013002027,meiya_hotel,zh_cn
玉田县,CHN013002029,meiya_hotel,zh_cn
遵化市,CHN013002081,meiya_hotel,zh_cn
迁安市,CHN013002083,meiya_hotel,zh_cn
秦皇岛,CHN013003000,meiya_hotel,zh_cn
海港区,CHN013003002,meiya_hotel,zh_cn
山海关区,CHN013003003,meiya_hotel,zh_cn
北戴河区,CHN013003004,meiya_hotel,zh_cn
青龙满族自治县,CHN013003021,meiya_hotel,zh_cn
昌黎县,CHN013003022,meiya_hotel,zh_cn
抚宁县,CHN013003023,meiya_hotel,zh_cn
卢龙县,CHN013003024,meiya_hotel,zh_cn
邯郸,CHN013004000,meiya_hotel,zh_cn
邯山区,CHN013004002,meiya_hotel,zh_cn
丛台区,CHN013004003,meiya_hotel,zh_cn
复兴区,CHN013004004,meiya_hotel,zh_cn
峰峰矿区,CHN013004006,meiya_hotel,zh_cn
邯郸县,CHN013004021,meiya_hotel,zh_cn
临漳县,CHN013004023,meiya_hotel,zh_cn
成安县,CHN013004024,meiya_hotel,zh_cn
大名县,CHN013004025,meiya_hotel,zh_cn
涉县,CHN013004026,meiya_hotel,zh_cn
磁县,CHN013004027,meiya_hotel,zh_cn
肥乡县,CHN013004028,meiya_hotel,zh_cn
永年县,CHN013004029,meiya_hotel,zh_cn
邱县,CHN013004030,meiya_hotel,zh_cn
鸡泽县,CHN013004031,meiya_hotel,zh_cn
广平县,CHN013004032,meiya_hotel,zh_cn
馆陶县,CHN013004033,meiya_hotel,zh_cn
魏县,CHN013004034,meiya_hotel,zh_cn
曲周县,CHN013004035,meiya_hotel,zh_cn
武安市,CHN013004081,meiya_hotel,zh_cn
邢台,CHN013005000,meiya_hotel,zh_cn
邢台县,CHN013005021,meiya_hotel,zh_cn
临城县,CHN013005022,meiya_hotel,zh_cn
内丘县,CHN013005023,meiya_hotel,zh_cn
柏乡县,CHN013005024,meiya_hotel,zh_cn
隆尧县,CHN013005025,meiya_hotel,zh_cn
任县,CHN013005026,meiya_hotel,zh_cn
南和县,CHN013005027,meiya_hotel,zh_cn
宁晋县,CHN013005028,meiya_hotel,zh_cn
巨鹿县,CHN013005029,meiya_hotel,zh_cn
新河县,CHN013005030,meiya_hotel,zh_cn
广宗县,CHN013005031,meiya_hotel,zh_cn
平乡县,CHN013005032,meiya_hotel,zh_cn
威县,CHN013005033,meiya_hotel,zh_cn
清河县,CHN013005034,meiya_hotel,zh_cn
临西县,CHN013005035,meiya_hotel,zh_cn
南宫市,CHN013005081,meiya_hotel,zh_cn
沙河市,CHN013005082,meiya_hotel,zh_cn
保定,CHN013006000,meiya_hotel,zh_cn
新市区,CHN013006002,meiya_hotel,zh_cn
涞水县,CHN013006023,meiya_hotel,zh_cn
阜平县,CHN013006024,meiya_hotel,zh_cn
定兴县,CHN013006026,meiya_hotel,zh_cn
唐县,CHN013006027,meiya_hotel,zh_cn
高阳县,CHN013006028,meiya_hotel,zh_cn
容城县,CHN013006029,meiya_hotel,zh_cn
涞源县,CHN013006030,meiya_hotel,zh_cn
望都县,CHN013006031,meiya_hotel,zh_cn
安新县,CHN013006032,meiya_hotel,zh_cn
易县,CHN013006033,meiya_hotel,zh_cn
曲阳县,CHN013006034,meiya_hotel,zh_cn
蠡县,CHN013006035,meiya_hotel,zh_cn
顺平县,CHN013006036,meiya_hotel,zh_cn
博野县,CHN013006037,meiya_hotel,zh_cn
雄县,CHN013006038,meiya_hotel,zh_cn
安国市,CHN013006083,meiya_hotel,zh_cn
高碑店市,CHN013006084,meiya_hotel,zh_cn
张家口,CHN013007000,meiya_hotel,zh_cn
宣化区,CHN013007005,meiya_hotel,zh_cn
下花园区,CHN013007006,meiya_hotel,zh_cn
宣化县,CHN013007021,meiya_hotel,zh_cn
张北县,CHN013007022,meiya_hotel,zh_cn
康保县,CHN013007023,meiya_hotel,zh_cn
沽源县,CHN013007024,meiya_hotel,zh_cn
尚义县,CHN013007025,meiya_hotel,zh_cn
蔚县,CHN013007026,meiya_hotel,zh_cn
阳原县,CHN013007027,meiya_hotel,zh_cn
怀安县,CHN013007028,meiya_hotel,zh_cn
万全县,CHN013007029,meiya_hotel,zh_cn
怀来县,CHN013007030,meiya_hotel,zh_cn
涿鹿县,CHN013007031,meiya_hotel,zh_cn
赤城县,CHN013007032,meiya_hotel,zh_cn
崇礼县,CHN013007033,meiya_hotel,zh_cn
承德,CHN013008000,meiya_hotel,zh_cn
双桥区,CHN013008002,meiya_hotel,zh_cn
双滦区,CHN013008003,meiya_hotel,zh_cn
鹰手营子矿区,CHN013008004,meiya_hotel,zh_cn
承德县,CHN013008021,meiya_hotel,zh_cn
兴隆县,CHN013008022,meiya_hotel,zh_cn
平泉县,CHN013008023,meiya_hotel,zh_cn
滦平县,CHN013008024,meiya_hotel,zh_cn
隆化县,CHN013008025,meiya_hotel,zh_cn
丰宁满族自治县,CHN013008026,meiya_hotel,zh_cn
宽城满族自治县,CHN013008027,meiya_hotel,zh_cn
围场满族蒙古族自治县,CHN013008028,meiya_hotel,zh_cn
沧州,CHN013009000,meiya_hotel,zh_cn
运河区,CHN013009003,meiya_hotel,zh_cn
沧县,CHN013009021,meiya_hotel,zh_cn
青县,CHN013009022,meiya_hotel,zh_cn
东光县,CHN013009023,meiya_hotel,zh_cn
海兴县,CHN013009024,meiya_hotel,zh_cn
盐山县,CHN013009025,meiya_hotel,zh_cn
肃宁县,CHN013009026,meiya_hotel,zh_cn
南皮县,CHN013009027,meiya_hotel,zh_cn
吴桥县,CHN013009028,meiya_hotel,zh_cn
献县,CHN013009029,meiya_hotel,zh_cn
孟村回族自治县,CHN013009030,meiya_hotel,zh_cn
泊头市,CHN013009081,meiya_hotel,zh_cn
任丘市,CHN013009082,meiya_hotel,zh_cn
黄骅市,CHN013009083,meiya_hotel,zh_cn
河间市,CHN013009084,meiya_hotel,zh_cn
廊坊,CHN013010000,meiya_hotel,zh_cn
安次区,CHN013010002,meiya_hotel,zh_cn
广阳区,CHN013010003,meiya_hotel,zh_cn
固安县,CHN013010022,meiya_hotel,zh_cn
永清县,CHN013010023,meiya_hotel,zh_cn
香河县,CHN013010024,meiya_hotel,zh_cn
大城县,CHN013010025,meiya_hotel,zh_cn
文安县,CHN013010026,meiya_hotel,zh_cn
大厂回族自治县,CHN013010028,meiya_hotel,zh_cn
霸州市,CHN013010081,meiya_hotel,zh_cn
三河市,CHN013010082,meiya_hotel,zh_cn
衡水,CHN013011000,meiya_hotel,zh_cn
桃城区,CHN013011002,meiya_hotel,zh_cn
枣强县,CHN013011021,meiya_hotel,zh_cn
武邑县,CHN013011022,meiya_hotel,zh_cn
武强县,CHN013011023,meiya_hotel,zh_cn
饶阳县,CHN013011024,meiya_hotel,zh_cn
安平县,CHN013011025,meiya_hotel,zh_cn
故城县,CHN013011026,meiya_hotel,zh_cn
景县,CHN013011027,meiya_hotel,zh_cn
阜城县,CHN013011028,meiya_hotel,zh_cn
冀州市,CHN013011081,meiya_hotel,zh_cn
深州市,CHN013011082,meiya_hotel,zh_cn
太原,CHN014001000,meiya_hotel,zh_cn
小店区,CHN014001005,meiya_hotel,zh_cn
迎泽区,CHN014001006,meiya_hotel,zh_cn
杏花岭区,CHN014001007,meiya_hotel,zh_cn
尖草坪区,CHN014001008,meiya_hotel,zh_cn
万柏林区,CHN014001009,meiya_hotel,zh_cn
晋源区,CHN014001010,meiya_hotel,zh_cn
清徐县,CHN014001021,meiya_hotel,zh_cn
阳曲县,CHN014001022,meiya_hotel,zh_cn
娄烦县,CHN014001023,meiya_hotel,zh_cn
古交市,CHN014001081,meiya_hotel,zh_cn
大同,CHN014002000,meiya_hotel,zh_cn
南郊区,CHN014002011,meiya_hotel,zh_cn
新荣区,CHN014002012,meiya_hotel,zh_cn
阳高县,CHN014002021,meiya_hotel,zh_cn
天镇县,CHN014002022,meiya_hotel,zh_cn
广灵县,CHN014002023,meiya_hotel,zh_cn
灵丘县,CHN014002024,meiya_hotel,zh_cn
浑源县,CHN014002025,meiya_hotel,zh_cn
左云县,CHN014002026,meiya_hotel,zh_cn
大同县,CHN014002027,meiya_hotel,zh_cn
阳泉,CHN014003000,meiya_hotel,zh_cn
平定县,CHN014003021,meiya_hotel,zh_cn
盂县,CHN014003022,meiya_hotel,zh_cn
长治,CHN014004000,meiya_hotel,zh_cn
长治县,CHN014004021,meiya_hotel,zh_cn
襄垣县,CHN014004023,meiya_hotel,zh_cn
屯留县,CHN014004024,meiya_hotel,zh_cn
平顺县,CHN014004025,meiya_hotel,zh_cn
黎城县,CHN014004026,meiya_hotel,zh_cn
壶关县,CHN014004027,meiya_hotel,zh_cn
长子县,CHN014004028,meiya_hotel,zh_cn
武乡县,CHN014004029,meiya_hotel,zh_cn
沁县,CHN014004030,meiya_hotel,zh_cn
沁源县,CHN014004031,meiya_hotel,zh_cn
潞城市,CHN014004081,meiya_hotel,zh_cn
晋城,CHN014005000,meiya_hotel,zh_cn
沁水县,CHN014005021,meiya_hotel,zh_cn
阳城县,CHN014005022,meiya_hotel,zh_cn
陵川县,CHN014005024,meiya_hotel,zh_cn
泽州县,CHN014005025,meiya_hotel,zh_cn
高平市,CHN014005081,meiya_hotel,zh_cn
朔州,CHN014006000,meiya_hotel,zh_cn
朔城区,CHN014006002,meiya_hotel,zh_cn
平鲁区,CHN014006003,meiya_hotel,zh_cn
山阴县,CHN014006021,meiya_hotel,zh_cn
应县,CHN014006022,meiya_hotel,zh_cn
右玉县,CHN014006023,meiya_hotel,zh_cn
怀仁县,CHN014006024,meiya_hotel,zh_cn
晋中,CHN014007000,meiya_hotel,zh_cn
榆次区,CHN014007002,meiya_hotel,zh_cn
榆社县,CHN014007021,meiya_hotel,zh_cn
左权县,CHN014007022,meiya_hotel,zh_cn
和顺县,CHN014007023,meiya_hotel,zh_cn
昔阳县,CHN014007024,meiya_hotel,zh_cn
寿阳县,CHN014007025,meiya_hotel,zh_cn
太谷县,CHN014007026,meiya_hotel,zh_cn
祁县,CHN014007027,meiya_hotel,zh_cn
平遥县,CHN014007028,meiya_hotel,zh_cn
灵石县,CHN014007029,meiya_hotel,zh_cn
介休市,CHN014007081,meiya_hotel,zh_cn
运城,CHN014008000,meiya_hotel,zh_cn
盐湖区,CHN014008002,meiya_hotel,zh_cn
临猗县,CHN014008021,meiya_hotel,zh_cn
万荣县,CHN014008022,meiya_hotel,zh_cn
闻喜县,CHN014008023,meiya_hotel,zh_cn
稷山县,CHN014008024,meiya_hotel,zh_cn
新绛县,CHN014008025,meiya_hotel,zh_cn
绛县,CHN014008026,meiya_hotel,zh_cn
垣曲县,CHN014008027,meiya_hotel,zh_cn
夏县,CHN014008028,meiya_hotel,zh_cn
平陆县,CHN014008029,meiya_hotel,zh_cn
芮城县,CHN014008030,meiya_hotel,zh_cn
永济市,CHN014008081,meiya_hotel,zh_cn
河津市,CHN014008082,meiya_hotel,zh_cn
忻州,CHN014009000,meiya_hotel,zh_cn
忻府区,CHN014009002,meiya_hotel,zh_cn
定襄县,CHN014009021,meiya_hotel,zh_cn
五台县,CHN014009022,meiya_hotel,zh_cn
代县,CHN014009023,meiya_hotel,zh_cn
繁峙县,CHN014009024,meiya_hotel,zh_cn
宁武县,CHN014009025,meiya_hotel,zh_cn
静乐县,CHN014009026,meiya_hotel,zh_cn
神池县,CHN014009027,meiya_hotel,zh_cn
五寨县,CHN014009028,meiya_hotel,zh_cn
岢岚县,CHN014009029,meiya_hotel,zh_cn
河曲县,CHN014009030,meiya_hotel,zh_cn
保德县,CHN014009031,meiya_hotel,zh_cn
偏关县,CHN014009032,meiya_hotel,zh_cn
原平市,CHN014009081,meiya_hotel,zh_cn
临汾,CHN014010000,meiya_hotel,zh_cn
尧都区,CHN014010002,meiya_hotel,zh_cn
曲沃县,CHN014010021,meiya_hotel,zh_cn
翼城县,CHN014010022,meiya_hotel,zh_cn
襄汾县,CHN014010023,meiya_hotel,zh_cn
洪洞县,CHN014010024,meiya_hotel,zh_cn
古县,CHN014010025,meiya_hotel,zh_cn
安泽县,CHN014010026,meiya_hotel,zh_cn
浮山县,CHN014010027,meiya_hotel,zh_cn
吉县,CHN014010028,meiya_hotel,zh_cn
乡宁县,CHN014010029,meiya_hotel,zh_cn
大宁县,CHN014010030,meiya_hotel,zh_cn
隰县,CHN014010031,meiya_hotel,zh_cn
永和县,CHN014010032,meiya_hotel,zh_cn
蒲县,CHN014010033,meiya_hotel,zh_cn
汾西县,CHN014010034,meiya_hotel,zh_cn
侯马市,CHN014010081,meiya_hotel,zh_cn
霍州市,CHN014010082,meiya_hotel,zh_cn
吕梁,CHN014011000,meiya_hotel,zh_cn
离石区,CHN014011002,meiya_hotel,zh_cn
文水县,CHN014011021,meiya_hotel,zh_cn
交城县,CHN014011022,meiya_hotel,zh_cn
兴县,CHN014011023,meiya_hotel,zh_cn
临县,CHN014011024,meiya_hotel,zh_cn
柳林县,CHN014011025,meiya_hotel,zh_cn
石楼县,CHN014011026,meiya_hotel,zh_cn
岚县,CHN014011027,meiya_hotel,zh_cn
方山县,CHN014011028,meiya_hotel,zh_cn
中阳县,CHN014011029,meiya_hotel,zh_cn
交口县,CHN014011030,meiya_hotel,zh_cn
孝义市,CHN014011081,meiya_hotel,zh_cn
汾阳市,CHN014011082,meiya_hotel,zh_cn
呼和浩特,CHN015001000,meiya_hotel,zh_cn
回民区,CHN015001003,meiya_hotel,zh_cn
玉泉区,CHN015001004,meiya_hotel,zh_cn
赛罕区,CHN015001005,meiya_hotel,zh_cn
土默特左旗,CHN015001021,meiya_hotel,zh_cn
托克托县,CHN015001022,meiya_hotel,zh_cn
和林格尔县,CHN015001023,meiya_hotel,zh_cn
清水河县,CHN015001024,meiya_hotel,zh_cn
武川县,CHN015001025,meiya_hotel,zh_cn
包头,CHN015002000,meiya_hotel,zh_cn
东河区,CHN015002002,meiya_hotel,zh_cn
昆都仑区,CHN015002003,meiya_hotel,zh_cn
石拐区,CHN015002005,meiya_hotel,zh_cn
白云鄂博矿区,CHN015002006,meiya_hotel,zh_cn
九原区,CHN015002007,meiya_hotel,zh_cn
土默特右旗,CHN015002021,meiya_hotel,zh_cn
固阳县,CHN015002022,meiya_hotel,zh_cn
达尔罕茂明安联合旗,CHN015002023,meiya_hotel,zh_cn
乌海,CHN015003000,meiya_hotel,zh_cn
海勃湾区,CHN015003002,meiya_hotel,zh_cn
海南区,CHN015003003,meiya_hotel,zh_cn
乌达区,CHN015003004,meiya_hotel,zh_cn
赤峰,CHN015004000,meiya_hotel,zh_cn
红山区,CHN015004002,meiya_hotel,zh_cn
元宝山区,CHN015004003,meiya_hotel,zh_cn
松山区,CHN015004004,meiya_hotel,zh_cn
阿鲁科尔沁旗,CHN015004021,meiya_hotel,zh_cn
巴林左旗,CHN015004022,meiya_hotel,zh_cn
巴林右旗,CHN015004023,meiya_hotel,zh_cn
林西县,CHN015004024,meiya_hotel,zh_cn
克什克腾旗,CHN015004025,meiya_hotel,zh_cn
翁牛特旗,CHN015004026,meiya_hotel,zh_cn
喀喇沁旗,CHN015004028,meiya_hotel,zh_cn
宁城县,CHN015004029,meiya_hotel,zh_cn
敖汉旗,CHN015004030,meiya_hotel,zh_cn
通辽,CHN015005000,meiya_hotel,zh_cn
科尔沁区,CHN015005002,meiya_hotel,zh_cn
科尔沁左翼中旗,CHN015005021,meiya_hotel,zh_cn
科尔沁左翼后旗,CHN015005022,meiya_hotel,zh_cn
开鲁县,CHN015005023,meiya_hotel,zh_cn
库伦旗,CHN015005024,meiya_hotel,zh_cn
奈曼旗,CHN015005025,meiya_hotel,zh_cn
扎鲁特旗,CHN015005026,meiya_hotel,zh_cn
霍林郭勒市,CHN015005081,meiya_hotel,zh_cn
鄂尔多斯,CHN015006000,meiya_hotel,zh_cn
东胜区,CHN015006002,meiya_hotel,zh_cn
达拉特旗,CHN015006021,meiya_hotel,zh_cn
准格尔旗,CHN015006022,meiya_hotel,zh_cn
鄂托克前旗,CHN015006023,meiya_hotel,zh_cn
鄂托克旗,CHN015006024,meiya_hotel,zh_cn
杭锦旗,CHN015006025,meiya_hotel,zh_cn
乌审旗,CHN015006026,meiya_hotel,zh_cn
伊金霍洛旗,CHN015006027,meiya_hotel,zh_cn
呼伦贝尔,CHN015007000,meiya_hotel,zh_cn
海拉尔区,CHN015007002,meiya_hotel,zh_cn
阿荣旗,CHN015007021,meiya_hotel,zh_cn
莫力达瓦达斡尔族自治旗,CHN015007022,meiya_hotel,zh_cn
鄂伦春自治旗,CHN015007023,meiya_hotel,zh_cn
鄂温克族自治旗,CHN015007024,meiya_hotel,zh_cn
陈巴尔虎旗,CHN015007025,meiya_hotel,zh_cn
新巴尔虎左旗,CHN015007026,meiya_hotel,zh_cn
新巴尔虎右旗,CHN015007027,meiya_hotel,zh_cn
满洲里,CHN015007081,meiya_hotel,zh_cn
