alias,code,vendor_type,language,vendor_code
SHIJIAZHUANGSHI,CHN013001000,wyn_hotel,en_us,130100
TANGSHANSHI,CHN013002000,wyn_hotel,en_us,130200
QINHUANGDAOSHI,CHN013003000,wyn_hotel,en_us,130300
HANDANSHI,CHN013004000,wyn_hotel,en_us,130400
XINGTAISHI,CHN013005000,wyn_hotel,en_us,130500
BAODINGSHI,CHN013006000,wyn_hotel,en_us,130600
ZHANGJIAKOUSHI,CHN013007000,wyn_hotel,en_us,130700
CHENGDESHI,CHN013008000,wyn_hotel,en_us,130800
CANGZHOUSHI,CHN013009000,wyn_hotel,en_us,130900
HENGSHUISHI,CHN013011000,wyn_hotel,en_us,131100
DINGZHOUSHI,CHN013006082,wyn_hotel,en_us,139000
DATONGSHI,CHN014002000,wyn_hotel,en_us,140200
YANGQUANSHI,CHN014003000,wyn_hotel,en_us,140300
ZHANGZHISHI,CHN014004000,wyn_hotel,en_us,140400
JINCHENGSHI,CHN014005000,wyn_hotel,en_us,140500
SHUOZHOUSHI,CHN014006000,wyn_hotel,en_us,140600
JINZHONGSHI,CHN014007000,wyn_hotel,en_us,140700
XINZHOUSHI,CHN014009000,wyn_hotel,en_us,140900
LINFENSHI,CHN014010000,wyn_hotel,en_us,141000
LULIANGSHI,CHN014011000,wyn_hotel,en_us,141100
HUHEHAOTESHI,CHN015001000,wyn_hotel,en_us,150100
BAOTOUSHI,CHN015002000,wyn_hotel,en_us,150200
WUHAISHI,CHN015003000,wyn_hotel,en_us,150300
CHIFENGSHI,CHN015004000,wyn_hotel,en_us,150400
TONGLIAOSHI,CHN015005000,wyn_hotel,en_us,150500
EERDUOSISHI,CHN015006000,wyn_hotel,en_us,150600
HULUNBEIERSHI,CHN015007000,wyn_hotel,en_us,150700
BAYANNAOERSHI,CHN015008000,wyn_hotel,en_us,150800
WULANCHABUSHI,CHN015009000,wyn_hotel,en_us,150900
XINGANMENG,CHN015022000,wyn_hotel,en_us,152200
XILINGUOLEMENG,CHN015025000,wyn_hotel,en_us,152500
ALASHANMENG,CHN015029000,wyn_hotel,en_us,152900
ANSHANSHI,CHN021003000,wyn_hotel,en_us,210300
FUSHUNSHI,CHN021004000,wyn_hotel,en_us,210400
BENXISHI,CHN021005000,wyn_hotel,en_us,210500
DANDONGSHI,CHN021006000,wyn_hotel,en_us,210600
JINZHOUSHI,CHN021007000,wyn_hotel,en_us,210700
YINGKOUSHI,CHN021008000,wyn_hotel,en_us,210800
FUXINSHI,CHN021009000,wyn_hotel,en_us,210900
LIAOYANGSHI,CHN021010000,wyn_hotel,en_us,211000
PANJINSHI,CHN021011000,wyn_hotel,en_us,211100
TIELINGSHI,CHN021012000,wyn_hotel,en_us,211200
CHAOYANGSHI,CHN011005000,wyn_hotel,en_us,211300
HULUDAOSHI,CHN021014000,wyn_hotel,en_us,211400
ZHANGCHUNSHI,CHN022001000,wyn_hotel,en_us,220100
SIPINGSHI,CHN022003000,wyn_hotel,en_us,220300
LIAOYUANSHI,CHN022004000,wyn_hotel,en_us,220400
TONGHUASHI,CHN022005000,wyn_hotel,en_us,220500
BAISHANSHI,CHN022006000,wyn_hotel,en_us,220600
SONGYUANSHI,CHN022007000,wyn_hotel,en_us,220700
BAICHENGSHI,CHN022008000,wyn_hotel,en_us,220800
YANBIANCHAOXIANZUZIZHIZHOU,CHN022024000,wyn_hotel,en_us,222400
HAERBINSHI,CHN023001000,wyn_hotel,en_us,230100
QIQIHAERSHI,CHN023002000,wyn_hotel,en_us,230200
JIXISHI,CHN023003000,wyn_hotel,en_us,230300
HEGANGSHI,CHN023004000,wyn_hotel,en_us,230400
SHUANGYASHANSHI,CHN023005000,wyn_hotel,en_us,230500
DAQINGSHI,CHN023006000,wyn_hotel,en_us,230600
YICHUNSHI,CHN023007000,wyn_hotel,en_us,230700
JIAMUSISHI,CHN023008000,wyn_hotel,en_us,230800
QITAIHESHI,CHN023009000,wyn_hotel,en_us,230900
MUDANJIANGSHI,CHN023010000,wyn_hotel,en_us,231000
HEIHESHI,CHN023011000,wyn_hotel,en_us,231100
SUIHUASHI,CHN023012000,wyn_hotel,en_us,231200
DAXINGANLINGDIQU,CHN023027000,wyn_hotel,en_us,232700
LIANYUNGANGSHI,CHN032007000,wyn_hotel,en_us,320700
TAIZHOUSHI,CHN032012000,wyn_hotel,en_us,321200
SUQIANSHI,CHN032013000,wyn_hotel,en_us,321300
WENZHOUSHI,CHN033003000,wyn_hotel,en_us,330300
HUZHOUSHI,CHN033005000,wyn_hotel,en_us,330500
JINHUASHI,CHN033007000,wyn_hotel,en_us,330700
QUZHOUSHI,CHN033008000,wyn_hotel,en_us,330800
ZHOUSHANSHI,CHN033009000,wyn_hotel,en_us,330900
TAIZHOUSHI,CHN033010000,wyn_hotel,en_us,331000
LISHUISHI,CHN033011000,wyn_hotel,en_us,331100
HEFEISHI,CHN034001000,wyn_hotel,en_us,340100
WUHUSHI,CHN034002000,wyn_hotel,en_us,340200
BANGBUSHI,CHN034003000,wyn_hotel,en_us,340300
HUAINANSHI,CHN034004000,wyn_hotel,en_us,340400
MAANSHANSHI,CHN034005000,wyn_hotel,en_us,340500
HUAIBEISHI,CHN034006000,wyn_hotel,en_us,340600
TONGLINGSHI,CHN034007000,wyn_hotel,en_us,340700
ANQINGSHI,CHN034008000,wyn_hotel,en_us,340800
CHUZHOUSHI,CHN034011000,wyn_hotel,en_us,341100
FUYANGSHI,CHN034012000,wyn_hotel,en_us,341200
SUZHOUSHI,CHN034013000,wyn_hotel,en_us,341300
BOZHOUSHI,CHN034016000,wyn_hotel,en_us,341600
CHIZHOUSHI,CHN034017000,wyn_hotel,en_us,341700
FUZHOUSHI,CHN035001000,wyn_hotel,en_us,350100
PUTIANSHI,CHN035003000,wyn_hotel,en_us,350300
SANMINGSHI,CHN035004000,wyn_hotel,en_us,350400
ZHANGZHOUSHI,CHN035006000,wyn_hotel,en_us,350600
NANPINGSHI,CHN035007000,wyn_hotel,en_us,350700
LONGYANSHI,CHN035008000,wyn_hotel,en_us,350800
PINGXIANGSHI,CHN036003000,wyn_hotel,en_us,360300
FUZHOUSHI,CHN036010000,wyn_hotel,en_us,361000
SHANGRAOSHI,CHN036011000,wyn_hotel,en_us,361100
ZIBOSHI,CHN037003000,wyn_hotel,en_us,370300
ZAOZHUANGSHI,CHN037004000,wyn_hotel,en_us,370400
YANTAISHI,CHN037006000,wyn_hotel,en_us,370600
WEIFANGSHI,CHN037007000,wyn_hotel,en_us,370700
JININGSHI,CHN037008000,wyn_hotel,en_us,370800
TAIANSHI,CHN037009000,wyn_hotel,en_us,370900
RIZHAOSHI,CHN037011000,wyn_hotel,en_us,371100
LAIWUSHI,CHN037012000,wyn_hotel,en_us,371200
DEZHOUSHI,CHN037014000,wyn_hotel,en_us,371400
LIAOCHENGSHI,CHN037015000,wyn_hotel,en_us,371500
BINZHOUSHI,CHN037016000,wyn_hotel,en_us,371600
HEZESHI,CHN037017000,wyn_hotel,en_us,371700
KAIFENGSHI,CHN041002000,wyn_hotel,en_us,410200
LUOYANGSHI,CHN041003000,wyn_hotel,en_us,410300
PINGDINGSHANSHI,CHN041004000,wyn_hotel,en_us,410400
HEBISHI,CHN041006000,wyn_hotel,en_us,410600
XINXIANGSHI,CHN041007000,wyn_hotel,en_us,410700
JIAOZUOSHI,CHN041008000,wyn_hotel,en_us,410800
PUYANGSHI,CHN041009000,wyn_hotel,en_us,410900
LUOHESHI,CHN041011000,wyn_hotel,en_us,411100
SANMENXIASHI,CHN041012000,wyn_hotel,en_us,411200
SHANGQIUSHI,CHN041014000,wyn_hotel,en_us,411400
JIYUANSHI,CHN041018000,wyn_hotel,en_us,419000
HUANGSHISHI,CHN042002000,wyn_hotel,en_us,420200
SHIYANSHI,CHN042003000,wyn_hotel,en_us,420300
EZHOUSHI,CHN042007000,wyn_hotel,en_us,420700
JINGMENSHI,CHN042008000,wyn_hotel,en_us,420800
JINGZHOUSHI,CHN042010000,wyn_hotel,en_us,421000
HUANGGANGSHI,CHN042011000,wyn_hotel,en_us,421100
SUIZHOUSHI,CHN042013000,wyn_hotel,en_us,421300
ENSHITUJIAZUMIAOZUZIZHIZHOU,CHN042028000,wyn_hotel,en_us,422800
XIANTAOSHI,CHN042094000,wyn_hotel,en_us,429000
CHANGDESHI,CHN043007000,wyn_hotel,en_us,430700
YIYANGSHI,CHN043009000,wyn_hotel,en_us,430900
HUAIHUASHI,CHN043012000,wyn_hotel,en_us,431200
XIANGXITUJIAZUMIAOZUZIZHIZHOU,CHN043031000,wyn_hotel,en_us,433100
ZHAOQINGSHI,CHN044012000,wyn_hotel,en_us,441200
